gap_id,filled,east,tier,gbm_prob,area_m2,height_m,imperv_frac,dist_road,neigh_completeness,fill_ratio
132,False,True,3,0.9552,469.0,10.9,0.9328,10.8412,0.1071,0.8549
133,False,False,1,0.0163,43.5,3.3,1.0,0.0,0.6364,0.77
134,False,False,1,0.0023,44.0,3.9,1.0,9.499,0.5714,0.9447
135,True,True,3,0.9962,287.5,6.3,1.0,11.1693,0.1667,0.8557
136,True,True,3,0.9306,162.8,8.4,0.8018,10.0042,0.1538,0.7893
137,False,False,1,0.0467,58.2,3.9,1.0,0.0,0.6923,0.8352
138,False,False,1,0.0145,27.0,2.5,1.0,3.2822,0.9375,0.8182
139,True,True,3,0.9619,191.2,10.3,0.9899,0.0,0.0909,0.7395
140,True,False,3,0.995,286.5,12.6,1.0,5.3057,0.7273,0.8349
141,True,True,3,0.9552,419.0,8.6,0.9231,9.7153,0.1176,0.7226
142,True,True,3,0.9788,179.8,9.7,0.9746,6.7348,0.1515,0.853
143,True,True,3,0.9885,197.2,10.1,1.0,6.4382,0.1379,0.8317
144,True,True,3,0.9807,234.0,10.1,0.9542,6.6781,0.1613,0.8577
145,True,True,3,0.9783,160.5,8.3,1.0,5.5984,0.129,0.8331
146,True,True,2,0.0537,65.8,8.5,0.9846,14.3381,0.1304,0.6925
147,True,True,3,0.7794,117.8,7.8,0.7074,13.4143,0.1316,0.7624
148,True,True,3,0.5718,115.8,8.3,1.0,14.791,0.1053,0.7066
149,True,True,3,0.7951,126.5,6.5,0.9769,6.8987,0.1622,0.7911
150,True,True,3,0.7538,127.8,6.2,1.0,4.3239,0.2414,0.6861
151,True,True,3,0.9507,153.8,8.5,1.0,14.198,0.1111,0.6614
152,True,False,3,0.9921,676.0,14.7,1.0,0.0,0.5,0.8733
153,False,True,1,0.2604,53.5,3.2,0.7228,20.2535,0.1481,0.8611
154,True,False,3,0.9596,2417.0,5.9,1.0,0.0,0.8333,0.8263
155,True,True,2,0.1886,128.8,3.2,1.0,5.3924,0.129,0.793
156,True,True,3,0.9807,528.0,9.5,0.9735,5.7922,0.2593,0.859
157,True,True,3,0.4895,100.2,6.7,0.9615,3.999,0.122,0.7786
158,True,True,2,0.0106,42.0,17.1,0.9222,11.7431,0.2069,0.7896
159,True,False,3,0.9948,3032.8,24.1,1.0,0.0,0.9231,0.9353
160,True,False,3,0.9854,96.8,8.4,0.9893,1.9121,0.5625,0.898
161,False,True,3,0.9706,862.0,4.5,1.0,6.4213,0.3889,0.8218
162,True,False,3,0.9861,96.0,8.4,1.0,0.953,0.5714,0.8964
163,False,True,3,0.6097,114.0,8.3,0.8621,1.5941,0.129,0.75
164,True,True,3,0.9926,140.0,6.8,0.7793,3.3355,0.1282,0.5129
165,True,True,3,0.1174,90.8,7.3,0.7433,4.0449,0.1087,0.881
166,True,True,3,0.997,178.0,11.9,0.5481,6.4411,0.1136,0.8917
167,True,True,3,0.9895,543.8,8.9,0.7922,5.3745,0.2,0.7958
168,True,True,3,0.6368,110.0,7.4,0.8479,1.7516,0.119,0.7552
169,False,True,3,0.9959,280.8,6.9,0.7353,4.6745,0.119,0.8305
170,False,True,2,0.0234,102.8,3.9,1.0,10.9711,0.3125,0.8582
171,True,False,1,0.9468,55.5,3.6,0.729,16.1845,0.75,0.8534
172,True,False,3,0.9887,443.5,8.4,1.0,0.797,0.5,0.8919
173,True,True,3,0.9534,741.2,8.6,0.9487,8.4063,0.3182,0.8235
174,True,False,3,0.9772,478.8,9.2,1.0,2.8006,0.5,0.8591
175,False,True,3,0.0837,120.2,4.1,1.0,0.484,0.7143,0.8718
176,True,False,2,0.9697,234.0,3.3,1.0,4.0793,0.6923,0.6475
177,True,True,2,0.0181,52.2,6.3,0.9908,6.6699,0.1034,0.852
178,True,True,2,0.9902,145.8,6.8,0.387,4.4093,0.1034,0.7874
179,True,True,3,0.5579,115.2,8.6,0.7897,3.1241,0.1111,0.8431
180,True,False,3,0.9962,1148.8,19.5,1.0,0.0,0.6667,0.8924
181,True,True,3,0.8853,119.2,7.1,0.5105,6.491,0.1064,0.7271
182,True,True,3,0.6544,122.2,8.6,1.0,4.6282,0.0889,0.8725
183,True,True,3,0.8378,122.5,9.2,0.7381,4.8358,0.087,0.8207
184,True,True,3,0.6975,129.2,8.5,1.0,4.1287,0.087,0.8023
185,True,True,1,0.0094,53.5,13.9,0.0096,9.1035,0.0667,0.8184
186,True,True,3,0.7979,114.8,7.5,0.9628,5.1212,0.0714,0.8002
187,False,True,1,0.0091,46.0,3.1,1.0,10.7778,0.0571,0.8217
188,True,True,3,0.6949,113.2,7.0,0.786,2.5188,0.1042,0.7449
189,False,True,1,0.0473,37.2,3.2,1.0,22.5178,0.0333,0.825
190,True,True,3,0.7219,128.0,6.1,0.9886,15.9039,0.1,0.8046
191,True,True,3,0.1278,93.2,7.4,0.9076,6.9971,0.0698,0.7305
192,False,True,3,0.4308,82.2,10.3,0.9133,22.636,0.0625,0.8403
193,True,True,3,0.9953,554.5,5.1,1.0,6.5626,0.0714,0.8055
194,False,False,3,0.0667,1230.5,5.1,1.0,1.0911,0.8571,0.5427
195,False,True,1,0.8013,56.5,18.3,0.3273,19.9205,0.06,0.8355
196,True,True,3,0.7979,112.2,7.6,0.9694,4.7318,0.0333,0.8153
197,True,True,3,0.5354,107.2,8.1,0.6854,3.9816,0.0278,0.752
198,True,True,3,0.7468,129.5,5.4,1.0,4.4205,0.0426,0.7479
199,True,True,3,0.5043,104.5,5.8,0.8657,5.9992,0.0385,0.692
200,True,True,3,0.9874,109.5,8.7,0.6847,3.4335,0.0385,0.8845
201,True,True,3,0.7269,111.5,5.1,0.6786,1.8161,0.0392,0.7679
202,True,True,3,0.5948,109.2,7.2,0.8142,3.3229,0.0426,0.7029
203,True,True,3,0.9895,216.5,8.9,0.8555,5.3274,0.0444,0.7387
204,True,True,2,0.0815,63.5,7.0,0.95,4.2415,0.0444,0.7574
205,True,True,3,0.9972,210.5,7.7,1.0,7.2067,0.0857,0.7918
206,True,False,3,0.9981,3428.2,22.9,1.0,0.0,0.5882,0.96
207,True,True,3,0.9704,612.5,10.8,0.9246,6.6084,0.0909,0.8451
208,True,False,3,0.9931,1547.8,18.1,1.0,0.0,0.4615,0.6002
209,True,True,3,0.8412,120.0,7.7,0.5738,5.6543,0.0323,0.8091
210,True,True,3,0.9849,139.5,7.6,0.9964,6.2398,0.0213,0.8458
211,True,True,3,0.5341,119.5,7.6,0.927,11.7784,0.0204,0.8705
212,False,True,3,0.9726,347.8,4.4,1.0,0.0,0.8333,0.9075
213,True,True,3,0.6604,115.8,7.6,0.7467,9.9703,0.0,0.6464
214,False,True,1,0.9545,22.0,3.2,1.0,20.7235,0.0357,0.7895
215,True,True,3,0.988,139.5,7.4,1.0,11.2896,0.0,0.7377
216,False,True,2,0.0057,35.8,4.7,1.0,8.3412,0.0312,0.7067
217,True,True,3,0.9826,147.0,7.7,1.0,11.4514,0.0444,0.7849
218,True,True,3,0.6975,128.0,8.5,1.0,6.9268,0.0455,0.7631
219,True,True,3,0.9799,176.5,8.8,0.8571,11.3008,0.0,0.5805
220,True,True,3,0.5593,123.8,7.4,0.9531,3.5412,0.0667,0.8468
221,True,False,3,0.9246,677.2,4.3,1.0,1.3155,0.8571,0.7038
222,False,True,1,0.0554,41.8,3.9,0.9286,29.4832,0.0,0.8225
223,False,False,1,0.0127,25.5,2.9,1.0,1.3485,0.4667,0.8667
224,True,True,3,0.9741,203.8,8.0,0.8083,19.4272,0.0938,0.5885
225,True,True,3,0.9963,278.2,7.6,1.0,16.5294,0.1429,0.8632
226,False,True,1,0.0735,51.2,13.9,0.0648,19.2122,0.0682,0.9687
227,True,False,3,0.9594,152.5,4.5,1.0,8.1067,0.8235,0.8453
228,True,True,3,0.9979,280.2,7.7,0.9931,4.6044,0.15,0.8912
229,True,False,3,0.989,1328.2,5.2,1.0,0.2423,0.4706,0.8189
230,False,True,1,0.0612,28.0,3.1,1.0,19.083,0.0,0.906
231,True,True,3,0.9962,191.2,6.3,1.0,6.5142,0.0,0.6707
232,True,True,3,0.99,723.8,13.7,0.9219,4.5772,0.0833,0.8613
233,True,True,3,0.9864,274.0,8.3,0.6577,3.5538,0.0,0.4296
234,True,True,3,0.1085,81.0,6.9,0.6036,5.1626,0.0,0.7023
235,True,True,3,0.9905,147.0,7.4,1.0,7.3085,0.0,0.6885
236,True,True,3,0.639,109.0,7.2,0.8169,7.5336,0.0213,0.8292
237,False,False,3,0.0381,4974.8,9.3,0.9998,0.0,0.6,0.4166
238,True,True,3,0.7373,117.5,7.5,0.9569,8.901,0.0222,0.8238
239,True,False,3,0.9953,665.5,9.4,1.0,1.3733,0.5,0.8919
240,False,False,2,0.0061,49.2,5.1,1.0,21.3575,0.6667,0.6094
241,True,True,3,0.9941,143.0,7.0,1.0,5.2858,0.0652,0.8184
242,True,True,1,0.003,28.8,3.2,1.0,1.5793,0.7143,0.9038
243,True,True,3,0.9634,162.0,9.4,0.9819,3.6378,0.0714,0.8798
244,True,False,3,0.9951,2839.2,44.8,1.0,0.0,0.8,0.9079
245,True,True,1,0.4094,56.2,7.9,0.3162,7.8472,0.1081,0.8608
246,True,True,2,0.9803,164.0,16.6,0.1101,8.8962,0.1562,0.7485
247,False,False,3,0.0177,6984.8,11.2,0.9895,0.0,0.7273,0.5025
248,True,True,3,0.983,149.5,8.5,0.6581,5.0178,0.1852,0.7612
249,True,True,3,0.9592,369.0,4.2,0.9649,4.4893,0.2,0.6859
250,True,True,3,0.7538,131.8,6.6,1.0,6.3892,0.0,0.6679
251,True,True,3,0.9931,121.8,7.4,0.8704,5.071,0.0,0.8892
252,False,False,2,0.0201,130.8,2.9,0.9848,0.0,0.7647,0.5572
253,True,True,3,0.9827,170.5,9.2,0.8297,5.4185,0.0,0.8202
254,True,True,3,0.9957,212.8,5.3,0.8144,4.9828,0.0,0.7594
255,False,True,2,0.9889,187.8,17.2,0.4053,6.5073,0.0667,0.7723
256,True,True,3,0.9961,177.0,7.6,0.978,6.5199,0.0435,0.9664
257,True,True,3,0.9827,177.2,9.1,0.8123,4.3275,0.122,0.7782
258,True,True,2,0.0987,74.8,6.2,1.0,3.3962,0.0,0.776
259,True,True,3,0.9818,174.0,8.1,1.0,7.038,0.0465,0.5932
260,True,True,3,0.9842,182.0,9.7,0.5204,6.441,0.0435,0.7113
261,True,True,3,0.9917,183.0,7.1,0.9862,4.6532,0.16,0.7041
262,False,True,1,0.258,27.5,3.1,0.6444,29.1376,0.0,0.9049
263,True,True,3,0.9715,160.5,8.5,0.6171,5.4637,0.1471,0.8574
264,True,False,3,0.9854,297.0,10.1,1.0,0.85,0.2857,0.7297
265,True,False,3,0.9976,459.8,13.8,1.0,4.129,0.3182,0.8298
266,True,True,3,0.6776,134.0,7.1,0.9808,9.5333,0.1875,0.7451
267,True,True,3,0.9964,154.8,7.2,1.0,4.1977,0.1852,0.8292
268,False,True,2,0.2056,64.5,4.9,1.0,28.0082,0.0714,0.7607
269,True,False,3,0.9787,300.8,9.9,0.995,0.0,0.375,0.8165
270,True,False,3,0.9973,244.0,11.1,1.0,5.7697,0.4231,0.7671
271,True,False,3,0.9863,479.0,16.9,0.999,3.384,0.4,0.801
272,True,True,3,0.949,167.8,8.9,0.7957,3.1037,0.0,0.6616
273,True,True,3,0.9862,170.8,9.1,0.568,5.4787,0.0952,0.7867
274,True,True,3,0.9967,152.8,7.1,1.0,4.2274,0.2,0.8734
275,True,True,3,0.1337,91.5,6.6,1.0,4.3386,0.0,0.52
276,False,True,2,0.3517,114.0,2.8,0.7803,26.6268,0.2,0.6885
277,True,True,2,0.4086,57.0,7.0,0.7596,5.0468,0.0,0.8105
278,True,True,2,0.583,121.2,15.2,0.2055,9.6859,0.0238,0.8479
279,True,False,3,0.9578,377.8,10.5,0.9827,1.4169,0.7222,0.7676
280,True,True,3,0.9846,221.0,7.2,0.8477,2.7716,0.0263,0.7836
281,True,True,3,0.9801,343.5,8.7,0.6943,3.0879,0.0833,0.8856
282,True,True,2,0.9913,230.5,17.6,0.4935,4.3813,0.1395,0.8558
283,True,True,3,0.9938,169.5,6.4,0.6412,4.7368,0.1364,0.7731
284,True,True,3,0.8782,181.5,8.7,0.9396,10.1185,0.1471,0.8688
285,False,True,2,0.9785,188.0,14.4,0.4289,8.9098,0.2121,0.7758
286,True,True,3,0.8869,300.8,6.6,0.8973,3.7427,0.2593,0.759
287,True,True,3,0.9778,156.8,8.8,0.724,7.8545,0.2258,0.8398
288,False,False,3,0.0293,83.2,4.9,1.0,8.3673,0.4333,0.7677
289,True,False,3,0.9843,136.2,7.4,0.9288,7.2972,0.4516,0.8015
290,True,False,3,0.9639,247.5,8.3,1.0,0.0,0.36,0.792
291,True,False,3,0.9945,483.0,11.9,1.0,0.8928,0.5714,0.8215
292,True,False,3,0.9917,541.0,16.8,1.0,0.4478,0.381,0.8482
293,True,False,3,0.9903,428.2,9.4,1.0,4.7747,0.2727,0.8617
294,True,False,2,0.9898,279.2,10.2,0.2566,8.6722,0.3704,0.6719
295,False,True,2,0.1089,75.0,9.3,0.7438,5.4692,0.0435,0.793
296,True,False,3,0.985,149.5,7.5,0.9932,5.0573,0.4333,0.8103
297,True,True,3,0.9842,188.0,7.6,0.9581,4.0129,0.0303,0.7383
298,True,True,3,0.9567,165.8,7.8,1.0,12.2172,0.0526,0.8183
299,True,True,3,0.9886,189.8,7.0,0.6827,8.4622,0.125,0.8369
300,True,True,3,0.9887,183.0,7.1,0.9538,8.2982,0.1795,0.8739
301,True,True,3,0.9645,178.2,8.4,0.8904,9.615,0.0556,0.611
302,True,True,3,0.973,225.8,7.6,0.9418,2.7483,0.1628,0.7289
303,True,False,3,0.9964,227.8,11.8,1.0,7.0259,0.4839,0.8478
304,True,True,3,0.9899,95.2,7.3,0.9844,3.4244,0.0345,0.9199
305,False,True,3,0.9624,153.8,11.3,0.6765,11.987,0.2581,0.7011
306,False,True,1,0.0798,51.2,21.5,0.0,34.7383,0.0606,0.8512
307,True,False,3,0.9582,392.8,9.0,0.9975,0.0,0.6087,0.8215
308,True,True,3,0.9964,357.2,9.2,1.0,4.8249,0.3548,0.8869
309,True,False,3,0.987,147.0,9.4,1.0,5.7382,0.5172,0.8691
310,False,True,3,0.9837,393.5,10.8,0.6134,8.4207,0.25,0.8343
311,False,True,3,0.9917,193.0,5.8,0.9062,35.7705,0.1143,0.642
312,False,True,2,0.9167,21.5,4.7,1.0,0.0,0.625,0.6265
313,False,True,1,0.084,43.0,22.1,0.0,27.4512,0.1538,0.7899
314,False,True,1,0.0424,37.2,16.3,0.0143,36.2882,0.2581,0.6775
315,False,True,3,0.9905,103.0,6.2,0.9,5.4079,0.1463,0.9034
316,False,True,1,0.178,72.0,16.9,0.0071,36.7054,0.3103,0.9134
317,False,True,3,0.9987,233.8,6.1,0.6909,5.936,0.3462,0.5251
318,True,False,3,0.9944,505.8,17.2,1.0,3.0842,0.44,0.8336
319,True,False,3,0.9884,201.2,10.2,1.0,4.956,0.5714,0.8332
320,False,True,1,0.3801,77.0,17.1,0.2273,24.6706,0.2121,0.8087
321,True,True,3,0.9866,199.5,14.5,0.5622,4.0346,0.1111,0.6578
322,True,True,3,0.9468,186.2,7.8,0.8374,7.9711,0.0882,0.7553
323,False,False,3,0.1613,434.2,10.7,0.9977,3.6866,0.5909,0.8503
324,True,True,3,0.9955,266.5,11.7,0.7957,5.1071,0.0968,0.566
325,True,True,3,0.9748,210.5,8.8,1.0,3.266,0.1053,0.8636
326,True,True,3,0.9625,218.8,8.5,0.8283,3.8996,0.1136,0.8687
327,False,True,3,0.0804,15072.8,23.5,0.9986,0.0,0.6,0.5054
328,False,True,3,0.9882,624.0,7.1,0.945,3.6331,0.1892,0.5794
329,False,True,1,0.0279,73.5,3.8,1.0,2.361,0.6364,0.8148
330,True,True,3,0.6735,117.5,8.7,0.8678,7.3689,0.2581,0.708
331,False,False,2,0.0117,30.2,4.0,1.0,3.1458,0.75,0.8536
332,True,True,3,0.9802,192.2,8.8,0.9141,5.0373,0.2759,0.8167
333,True,False,3,0.9976,456.0,12.4,1.0,5.5025,0.4118,0.8009
334,False,True,3,0.9963,315.5,7.1,1.0,8.3335,0.875,0.9512
335,True,False,3,0.9964,460.8,12.5,1.0,5.3204,0.4118,0.8374
336,True,False,3,0.992,652.8,22.4,0.991,0.1301,0.375,0.8164
337,True,False,3,0.9983,425.5,20.3,1.0,2.84,0.4444,0.9061
338,True,False,3,0.9914,571.5,17.3,1.0,2.4199,0.45,0.8583
339,True,True,3,0.9929,203.2,10.8,0.651,7.8713,0.0938,0.8957
340,True,True,3,0.9901,200.8,9.7,1.0,8.2513,0.0909,0.8739
341,True,True,3,0.9966,182.8,6.8,1.0,7.1993,0.0882,0.7882
342,True,True,3,0.9598,155.2,8.3,0.7573,5.8798,0.0976,0.7031
343,True,True,3,0.979,317.5,11.5,0.8916,0.7534,0.0769,0.8372
344,True,False,3,0.9715,732.2,7.1,1.0,2.921,0.9167,0.6206
345,True,True,3,0.9606,199.5,10.6,0.9381,8.5755,0.1026,0.8194
