GEOID,CTYNAME,POPESTIMATE2019,pct_recent,median_edit_year,staleness,exposure,priority
17061,Greene County,12969,1.2002526847757422,2012.0,0.9879974731522426,0.16958109685446704,0.1675
17053,Ford County,12961,2.1551724137931036,2012.0,0.978448275862069,0.16949547077852942,0.1658
17127,Massac County,13772,7.502467917077986,2012.0,0.9249753208292202,0.1779176600857377,0.1646
17017,Cass County,12147,4.929577464788732,2013.0,0.9507042253521126,0.1604946302454313,0.1526
17087,Johnson County,12417,13.539823008849558,2013.0,0.8646017699115044,0.16354533883002315,0.1414
17185,Wabash County,11520,7.79874213836478,2008.0,0.9220125786163522,0.15314027637815156,0.1412
17123,Marshall County,11438,9.100204498977506,2013.0,0.908997955010225,0.1521489875645235,0.1383
17129,Menard County,12196,16.20658949243099,2013.0,0.8379341050756901,0.16105328194606602,0.135
17035,Cumberland County,10766,15.02262443438914,2012.0,0.8497737556561086,0.14374686014486746,0.1222
17079,Jasper County,9610,4.640215198386012,2012.0,0.9535978480161399,0.12798439778010606,0.122
17065,Hamilton County,8116,4.739336492890995,2012.0,0.95260663507109,0.10453725414780468,0.0996
17169,Schuyler County,6768,3.7475345167652856,2012.0,0.9625246548323472,0.07933261708810513,0.0764
17071,Henderson County,6646,0.7428040854224698,2013.0,0.9925719591457753,0.07680836885164512,0.0762
17009,Brown County,6578,1.3020833333333337,2008.0,0.9869791666666666,0.07538122267714904,0.0744
17047,Edwards County,6395,1.0501750291715286,2012.0,0.9894982497082847,0.07146598584233382,0.0707
17155,Putnam County,5739,11.565836298932384,2013.0,0.8843416370106761,0.056446949695416776,0.0499
17153,Pulaski County,5335,1.2330456226880395,2013.0,0.9876695437731196,0.046317445561876947,0.0457
17003,Alexander County,5761,21.82044887780549,2013.0,0.7817955112219451,0.056977887840176114,0.0445
17175,Stark County,5342,13.46938775510204,2013.0,0.8653061224489795,0.046499401996001014,0.0402
17171,Scott County,4951,2.193548387096774,2012.0,0.9780645161290322,0.03595159024515289,0.0352
17059,Gallatin County,4828,3.309692671394799,2012.0,0.966903073286052,0.03246057193120972,0.0314
17013,Calhoun County,4739,1.1730205278592376,2008.0,0.9882697947214076,0.029878636845776213,0.0295
17151,Pope County,4177,7.661290322580645,2008.0,0.9233870967741935,0.012361586618269003,0.0114
17069,Hardin County,3821,6.526806526806526,2013.0,0.9347319347319347,0.0,0.0
