GEOID,n_segments,total_km,pct_maxspeed,pct_surface,pct_ref,pct_name,median_edit_year,pct_recent,NAME,aland_km2,CTYNAME,POPESTIMATE2019,pop_density,road_density,km_per_1k,urban
17099,4330,4072.7249895412306,0.41570438799076215,2.7020785219399537,7.159353348729793,87.45958429561202,2013.0,11.17782909930716,LaSalle County,2940.070811,LaSalle County,108669,36.96135466990288,1.38524724448932,37.47825957302663,False
17101,1748,1422.9504299665127,0.0,0.0,3.0892448512585813,53.94736842105263,2008.0,1.6590389016018305,Lawrence County,963.938131,Lawrence County,15678,16.26452932589716,1.4761843983600154,90.76096632009903,False
17103,1725,2055.897165134341,0.057971014492753624,0.34782608695652173,4.753623188405797,75.42028985507247,2013.0,3.4782608695652173,Lee County,1877.189067,Lee County,34096,18.163327604762788,1.0951998396304004,60.297312445282174,False
17105,2185,2965.9260543423748,0.1830663615560641,0.9610983981693364,8.466819221967963,78.8558352402746,2013.0,25.81235697940503,Livingston County,2702.983877,Livingston County,35648,13.188387952785408,1.0972784852990725,83.20034937001724,False
17107,2178,2248.4734971228463,0.0,0.13774104683195593,2.800734618916437,74.79338842975206,2013.0,13.085399449035812,Logan County,1600.757857,Logan County,28618,17.877781998604927,1.4046306174856065,78.56850573495166,False
17109,1588,1829.4473476177668,10.894206549118387,12.027707808564232,3.7783375314861463,85.07556675062973,2013.0,30.60453400503778,McDonough County,1526.339596,McDonough County,29682,19.446524271391567,1.1985847398652998,61.63490828171171,False
17111,8001,3965.9914704412813,9.623797025371829,4.211973503312086,8.886389201349832,94.25071866016748,2014.0,32.79590051243594,McHenry County,1562.786765,McHenry County,307774,196.93921582449542,2.5377687853923443,12.886051032385065,True
17113,6304,4895.456831671961,6.2341370558375635,3.4422588832487313,5.663071065989848,89.29251269035532,2013.0,29.26713197969543,McLean County,3064.600918,McLean County,171517,55.96715676504277,1.5974206634600898,28.542108547094227,False
17115,3928,2637.5290756675463,0.3564154786150713,4.022403258655805,9.979633401221996,92.94806517311609,2013.0,31.109979633401224,Macon County,1503.684109,Macon County,104009,69.16944814238241,1.754044655976042,25.358661997207417,False
17117,3840,2764.8124693883665,0.26041666666666663,0.4427083333333333,4.192708333333333,76.11979166666667,2013.0,6.510416666666667,Macoupin County,2235.091594,Macoupin County,44926,20.100294824875082,1.2370018646262093,61.54147864017198,False
17119,8746,4425.292235127565,0.537388520466499,1.8637091241710497,4.321975760347588,90.4642122112966,2013.0,15.549965698605076,Madison County,1853.152211,Madison County,262966,141.90199727743789,2.3879809811950543,16.828381749456447,True
17121,3056,2302.3725029953025,1.2107329842931938,0.3599476439790576,2.6832460732984296,67.67015706806284,2013.0,13.645287958115182,Marion County,1482.865607,Marion County,37205,25.089933858045168,1.552650821575972,61.88341628800706,False
17123,978,1022.6201638851461,0.0,0.5112474437627812,7.05521472392638,82.0040899795501,2013.0,9.100204498977506,Marshall County,1001.843226,Marshall County,11438,11.416955969915398,1.0207387117524376,89.40550479849152,False
17125,1697,1670.7015143686242,0.0,0.4714201532115498,3.182086034177961,66.88273423688862,2012.0,3.0642309958750737,Mason County,1396.914851,Mason County,13359,9.563217106924437,1.1959938096245668,125.06186947889994,False
17127,1013,730.3231752899961,0.09871668311944717,3.1589338598223096,0.09871668311944717,68.31194471865746,2012.0,7.502467917077986,Massac County,614.453457,Massac County,13772,22.41341446305835,1.1885736290844828,53.02956544365351,False
17129,1123,1021.8779489422946,1.7809439002671414,2.226179875333927,2.404274265360641,69.36776491540516,2013.0,16.20658949243099,Menard County,814.26935,Menard County,12196,14.977844861777003,1.2549630523883706,83.78795908021438,False
17131,1239,1779.701826484401,0.0,2.340597255851493,1.937046004842615,79.41888619854721,2013.0,3.066989507667474,Mercer County,1453.604361,Mercer County,15437,10.619808535370789,1.2243371540658174,115.2880628674225,False
17133,1705,1177.9007773972864,0.0,0.23460410557184752,1.466275659824047,79.88269794721407,2013.0,12.140762463343108,Monroe County,997.988611,Monroe County,34637,34.706808893633756,1.1802747690848012,34.007009192403686,False
17135,2707,2549.530400019902,0.11082379017362395,0.7018840044329516,3.029183598079054,75.65570742519394,2013.0,8.75507942371629,Montgomery County,1822.726466,Montgomery County,28414,15.588735079024193,1.3987454769419594,89.72796508833329,False
17137,2366,1885.0558917692058,0.25359256128486896,2.53592561284869,3.9729501267962806,69.1462383770076,2013.0,12.045646661031277,Morgan County,1473.584099,Morgan County,33658,22.840908790235257,1.2792319712518871,56.00617659305977,False
17139,1179,1103.0816253274054,0.6785411365564037,0.5089058524173028,5.852417302798982,62.086513994910945,2013.0,7.633587786259542,Moultrie County,870.134336,Moultrie County,14501,16.665242825218197,1.2677141674448362,76.06934868818739,False
17141,2493,2847.3110707399683,0.5214600882470918,1.1231448054552748,6.257521058965103,81.06698756518252,2013.0,5.816285599679102,Ogle County,1964.903717,Ogle County,50643,25.77378197305329,1.449084271206541,56.2231911762725,False
17143,5230,2821.4242029384404,0.9560229445506693,3.0975143403441683,4.493307839388145,91.77820267686424,2013.0,15.219885277246654,Peoria County,1602.464183,Peoria County,179179,111.81466762305787,1.7606784805988018,15.746399985145807,True
17145,1471,1465.2776235477775,0.27192386131883073,0.9517335146159076,3.9428959891230457,72.39972807613869,2013.0,5.574439157036029,Perry County,1144.367942,Perry County,20916,18.277338286360347,1.2804252633876887,70.05534631611098,False
